stop_id,stop_name,current_lat,current_lng,geocoded_lat,geocoded_lng,distance_m,status
S0256,Imadol Krishna Mandir Road,27.6631915,85.3423521,,,,NOT_FOUND
S0257,KIST Medical College Teaching Hospital,27.6628241,85.3347172,,,,NOT_FOUND
S0258,Nakkhu (bus stop),27.6638808,85.306311,,,,NOT_FOUND
S0259,New Baneshwor East,27.6915196,85.3420486,27.6899076,85.3356591,654.1,MISMATCH
S0260,Neuro Hospital Bansbari (Upendra Devkota Memorial NINAS),27.7486124,85.3460046,,,,NOT_FOUND
S0261,Pyangaun,27.5981685,85.3251264,,,,NOT_FOUND
S0262,Rata Makai Chowk,27.6648107,85.3410552,,,,NOT_FOUND
S0263,Ravi Bhavan,27.6950507,85.2948778,,,,NOT_FOUND
S0264,Sana Gaun Bus Stop,27.649786,85.3589255,,,,NOT_FOUND
S0266,Satungal,27.6825156,85.2489603,27.6806914,85.2448709,450.9,OK
S0267,Taukhel,27.6117622,85.357324,,,,NOT_FOUND
S0268,Nepal Telecom (Budhanilkantha),27.733891,85.3595657,27.7548345,85.3485124,2570.3,MISMATCH
S0269,Tikabhairab Temple,27.5746276,85.3128817,,,,NOT_FOUND
S0270,Tribhuwan Park,27.689954,85.220857,27.690241,85.2205516,43.8,OK
S0271,Soalteemode West,27.7005956,85.2858267,,,,NOT_FOUND
S0272,Handegaun,27.6145,85.3555,,,,NOT_FOUND
S0273,Dungin,27.6355,85.3844,,,,NOT_FOUND
S0274,"Kamalpokhari (Lamatar-area, distinct from central Kathmandu Kamalpokhari)",27.66583,85.334253,,,,NOT_FOUND
S0275,Dui Adda (Dhunga Adda),27.691351,85.275754,,,,NOT_FOUND
S0276,Tek (Teku),27.696325,85.306981,,,,NOT_FOUND
S0278,"N.A.Bh (Nepal Army Headquarters, Bhadrakali)",27.69941,85.31481,,,,NOT_FOUND
S0279,Takhal,27.586,85.318,,,,NOT_FOUND
S0057,Nikosera,27.680054,85.39845,,,,NOT_FOUND
S0081,Bhaktapur Hospital Stop,27.671988,85.422408,27.6695229,85.4660082,4302.4,MISMATCH
S0116,Damkal,27.675796,85.315747,27.6775153,85.3109861,506.3,MISMATCH
S0132,Maitighar Stop--South,27.694112,85.319308,27.6938924,85.3212453,192.3,OK
S0150,Baakha Bazaar,27.682879,85.385831,,,,NOT_FOUND
S0161,Bhaktapur Bus Park,27.671307,85.422416,27.7056651,85.3169812,11062.0,MISMATCH
S0181,SanoThimi,27.682682,85.37234,,,,NOT_FOUND
S0185,Thapathali,27.691767,85.318016,27.6915948,85.3201449,210.5,OK
S0192,Naya Naikap,27.701283,85.289181,27.6914202,85.2666976,2470.4,MISMATCH
S0213,Kumaripati,27.67084,85.320098,27.6667443,85.3178807,505.1,MISMATCH
