route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R2294152,Ratna Park-Lagankhel,14,microbus,public,Bagmati Yatayat,S0013,S0223,20,5.92,46,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP014,True,OP014,False,5.943,0.615,5.92,False,active,False,True
R2302674,Naikap-Koteshwor,,bus,public,Digo Yatayat,S0291,S0107,26,15.82,81,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP011,True,OP011,False,13.753,1.168,12.31,True,active,False,True
R2988806,Ratnapark-Dadhikot,9,bus,public,Bhaktapur Minibus Samiti,S0013,S0021,31,19.03,100,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,16.546,2.364,15.11,True,active,False,True
R3014451,Bhaktapur-Purano Thimi- Purano Bus Park,7,bus,public,Bhaktapur Minibus Samiti,S0161,S0031,36,32.69,150,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,28.429,4.642,27.07,True,active,False,True
R3283810,Ratna Park - Naikap,,microbus,public,Chandragiri Yatayat,S0013,S0291,10,10.18,60,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP004,True,OP004,False,9.866,1.703,10.18,False,active,False,True
R3214592,Koteshwor - Kalanki (via New Baneshwor),,microbus,public,Digo Yatayat,S0107,S0130,13,9.4,55,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP011,True,OP011,False,8.521,1.362,9.4,False,active,False,True
R3203278,Airport - Ratna Park,,microbus,public,Nepal Yatayat,S0070,S0013,12,9.82,58,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP007,True,OP007,False,8.062,1.84,9.82,False,active,False,True
R3297196,New Bus Park - Ratna Park,,microbus,public,Samakhusi Yatayat,S0174,S0013,8,6.24,37,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP021,True,OP021,False,4.361,1.306,6.24,False,active,False,True
R3236048,Koteshwor - New Bus Park,,microbus,public,Digo Yatayat,S0107,S0174,14,16.31,96,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP011,True,OP011,False,12.844,2.333,16.31,False,active,False,True
R3232098,Narayangopal Chowk - Satdobato,,bus,public,Mahanagar Yatayat,S0124,S0011,15,12.24,72,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP016,True,OP016,False,10.426,1.129,12.24,False,active,False,True
R3229256,Jorpati - Naikap,,bus,public,Chandragiri Yatayat,S0135,S0291,17,16.31,96,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP004,True,OP004,False,14.602,1.839,16.31,False,active,False,True
R3218289,Jorpati - Ekantakuna,,microbus,public,Gokarneshwor Yatayat,S0135,S0214,14,14.87,88,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP002,True,OP002,False,12.706,1.71,14.87,False,active,False,True
R3296530,Koteshwor - Kalanki (via Satdobato),,bus,public,Mahanagar Yatayat,S0107,S0130,11,15.27,90,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP016,True,OP016,False,11.056,2.943,15.27,False,active,False,True
R3213434,Kalanki - Koteshwor,,bus,public,Mahanagar Yatayat,S0130,S0107,20,23.99,142,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP016,True,OP016,False,18.649,2.124,23.99,False,active,False,True
R3288696,Lagankhel - Ratna Park,,microbus,public,Lalitpur Microbus Sewa Samiti,S0112,S0013,8,5.95,35,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP009,True,OP009,False,5.137,1.092,5.95,False,active,False,True
R3297080,Lagankhel - Balkhu,,microbus,public,Samyukta Yatayat,S0112,S0230,7,6.29,37,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,5.258,1.414,6.29,False,active,False,True
R3271482,Lagankhel - Koteshwor,,microbus,public,Lalitpur Microbus Sewa Samiti,S0112,S0107,12,8.32,49,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP009,True,OP009,False,7.591,1.212,8.32,False,active,False,True
R3211395,Bhaktapur - Ratna Park,,bus,public,Bhaktapur Minibus Samiti,S0161,S0013,13,16.77,99,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,15.03,3.69,16.77,False,active,False,True
R3277397,Bhaktapur - Gongabu,,bus,public,Bhaktapur Minibus Samiti,S0089,S0174,15,22.41,132,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP003,True,OP003,False,19.782,4.935,22.41,False,active,False,True
R3255302,Suryabinayak - Kirtipur,,bus,public,Kirtipur Yatayat,S0089,S0043,13,21.47,127,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP026,True,OP026,False,17.305,4.25,21.47,False,active,False,True
R3204165,Thimi - Ratna Park,,microbus,public,Madhyapur Thimi Yatayat,S0021,S0013,12,14.65,86,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP027,True,OP027,False,13.168,3.704,14.65,False,active,False,True
R3342445,Baluwatar - Naxal - Putalisadak Loop,,microbus,public,Nepal Yatayat,S0337,S0013,8,5.95,35,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP007,True,OP007,False,5.115,1.287,5.95,False,active,False,True
R3319772,Thamel - Sorhakhutte Feeder,,microbus,public,Samyukta Yatayat,S0079,S0013,8,3.64,21,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP020,True,OP020,False,3.166,0.754,3.64,False,active,False,True
R3351750,Narayantar - Jorpati Central Line,,bus,public,Gokarneshwor Yatayat,S0344,S0013,9,8.03,47,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03T02:53:43Z,2026-08-03T02:53:43Z,OP002,True,OP002,False,6.994,1.715,8.03,False,active,False,True
