route_id,route_name,short_name,vehicle_type,route_type,operator,start_stop_id,end_stop_id,total_stops,approx_distance_km,estimated_duration_min,service_start_time,service_end_time,frequency_min,fare_type,has_ac,is_express,status,created_at,updated_at,operator_id,return_leg_verified,operator_id_raw,is_multi_operator,haversine_distance_km,max_consecutive_stop_jump_km,approx_distance_km_original,distance_flagged_for_recompute,status_original,status_corrected_for_return_leg,is_bidirectional
R3102605,Swyambhu-Chakrapath parikrama,,bus,public,Mahanagar Yatayat,S0211,S0211,35,26.71,140.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP016,False,OP016,False,24.363,1.618,25.38,False,active,False,False
R2294152,Ratna Park-Lagankhel,14.0,microbus,public,Bagmati Yatayat,S0013,S0223,20,6.08,46.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP014,False,OP014,False,5.877,0.615,5.92,False,active,False,True
R3213434,Kalanki - Koteshwor,,bus,public,Mahanagar Yatayat,S0130,S0107,21,23.99,142.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP016,False,OP016,False,18.098,2.124,23.99,False,active,False,True
R-NY-06,Gopi Krishna-Balkumari,NY-06,bus,public,Nepal Yatayat,S0134,S0024,12,12.02,,06:00:00,20:00:00,,distance_based,False,False,active,2026-08-22 16:42:44+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,10.776,2.319,,False,active,False,True
R-NY-07,Gopi Krishna-Koteshwor,NY-07,bus,public,Nepal Yatayat,S0134,S0107,10,,,06:00:00,20:00:00,,distance_based,False,False,active,2026-08-22 16:42:44+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,11.056,4.538,,False,active,False,True
R2295768,Ratnapark-Mangal Bazaar,14,tempo,public,Bagmati Yatayat,S0013,S0154,14,4.69,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP014,False,OP014,False,4.768,0.851,4.77,False,active,False,True
R3211395,Bhaktapur - Ratna Park,,bus,public,Bhaktapur Minibus Samiti,S0161,S0013,15,14.41,99.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP003,False,OP003,False,14.605,3.690,16.77,False,active,False,True
R3214592,Koteshwor - Kalanki (via New Baneshwor),,microbus,public,Digo Yatayat,S0107,S0130,10,7.73,55.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP011,False,OP011,False,8.001,1.362,9.40,False,active,False,True
R3296530,Koteshwor - Kalanki (via Satdobato),,bus,public,Mahanagar Yatayat,S0107,S0130,10,9.15,90.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP016,False,OP016,False,11.404,2.943,15.27,False,active,False,True
R2302674,Naikap-Koteshwor,,bus,public,Digo Yatayat,S0291,S0107,19,9.89,81.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP011,False,OP011,False,13.014,1.059,12.31,False,active,False,True
R2295986,Sundhara-Shankhamul,1,microbus,public,Local Microbus,S0018,S0198,11,4.56,42.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP030,False,,False,5.326,0.884,5.58,False,pending_release,False,True
R3297080,Lagankhel - Balkhu,,microbus,public,Samyukta Yatayat,S0194,S0230,6,4.66,37.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP020,False,OP020,False,5.122,1.322,6.29,False,active,False,True
R3288696,Lagankhel - Ratna Park,,microbus,public,Lalitpur Microbus Sewa Samiti,S0112,S0013,7,5.29,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP009,False,OP009,False,5.076,1.092,5.95,False,active,False,True
R-NY-05,Harharmahadev-Balkhu,NY-05,bus,public,Nepal Yatayat,S0383,S0233,9,10.69,,06:00:00,20:00:00,,distance_based,False,False,active,2026-08-22 16:42:44+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,9.076,3.352,,False,active,False,True
R-NY-04,Babachowk-Putalisadak,NY-04,bus,public,Nepal Yatayat,S0373,S0005,13,8.87,,06:00:00,20:00:00,,distance_based,False,False,active,2026-08-22 16:42:44+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,9.888,1.527,,False,active,False,True
R3342445,Baluwatar - Naxal - Putalisadak Loop,,microbus,public,Nepal Yatayat,S0337,S0013,8,4.48,35.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP007,False,OP007,False,4.929,1.287,5.95,False,active,False,False
R3271482,Lagankhel - Koteshwor,,microbus,public,Lalitpur Microbus Sewa Samiti,S0112,S0107,10,7.63,49.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP009,False,OP009,False,7.011,1.212,8.32,False,active,False,True
R3255302,Suryabinayak - Kirtipur,,bus,public,Kirtipur Yatayat,S0089,S0221,13,17.11,127.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP026,False,OP026,False,17.551,4.250,21.47,False,active,False,True
R3319772,Thamel - Sorhakhutte Feeder,,microbus,public,Samyukta Yatayat,S0079,S0013,6,1.77,21.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP020,False,OP020,False,3.166,0.754,3.64,False,active,False,True
R3204165,Thimi - Ratna Park,,microbus,public,Madhyapur Thimi Yatayat,S_413,S0013,9,9.52,86.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP027,False,OP027,False,12.807,3.704,14.65,False,active,False,True
R3277397,Bhaktapur - Gongabu,,bus,public,Bhaktapur Minibus Samiti,S0089,S0174,16,18.56,132.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP003,False,OP003,False,19.124,4.935,22.41,False,active,False,True
R3229256,Jorpati - Naikap,,bus,public,Chandragiri Yatayat,S0135,S0291,16,13.54,96.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP004,False,OP004,False,14.602,1.839,16.31,False,active,False,True
R3283810,Ratna Park - Naikap,,microbus,public,Chandragiri Yatayat,S0013,S0291,9,7.31,60.0,06:00:00,20:00:00,15,distance_based,False,False,active,2026-08-03 02:53:43+00:00,2026-08-17 20:07:59+00:00,OP004,False,OP004,False,9.866,1.703,10.18,False,active,False,True
